OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
HRSPZS4-R4	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
BISZS1-R1	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
BISZS1-R1	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
GUZ(SC)S1-R4	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0345866705	-0.0232930829	4.2017509758	0.0017963097	0.0006815785	0.0000000000	0.0005438832	-0.0003268578	0.0000000000	-0.0002636676	-339.6438455619	0.0000000000	0.0000000000	-0.0855638728	-7.3481423092	-1.4492119049	mm
GUZ(SC)S1-R4	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0483178512	-0.0651399875	4.1892020829	0.0024341988	0.0006044464	0.0000000000	0.0007971078	-0.0003349231	0.0000000000	0.0000738349	339.6438455619	0.0000000000	0.0000000000	0.0855638728	7.4707837783	-0.5182214380	mm
FISPZS3-R3-R	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0244475944	-0.0836300625	4.1867390268	0.0029587629	0.0003246481	0.0000000000	0.0005586294	-0.0014941992	0.0000000000	0.0001193021	-340.1014059592	0.0000000000	0.0000000000	-0.4090241330	-7.3347810057	1.3809895442	mm
FISPZS3-R3-R	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0810691165	0.0682187780	4.1980839939	0.0023166323	0.0009406313	0.0000000000	0.0015092089	0.0008890765	0.0000000000	-0.0005940655	340.1014059592	0.0000000000	0.0000000000	0.4090241330	5.2023433137	1.1518837423	mm
JC4_GOOR4	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0235031678	-0.0309796065	4.1775405100	0.0031285863	0.0009037296	0.0000000000	0.0012745394	-0.0001736662	0.0000000000	-0.0002647544	-334.4699593761	0.0000000000	0.0000000000	0.0083814765	-7.2322939457	2.5082560881	mm
JC4_GOOR4	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1544110196	-0.0012067398	4.1668753266	0.0041896183	0.0002713370	0.0000000000	0.0016493909	-0.0000481832	0.0000000000	0.0013489428	334.4699593761	0.0000000000	0.0000000000	-0.0083814765	7.0876946090	0.0425540715	mm
GUZ(C)S2-R3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0544862488	-0.0501629006	4.1800696436	0.0041857619	-0.0000418000	0.0000000000	0.0012822619	-0.0002706236	0.0000000000	-0.0006354290	-326.8484277470	0.0000000000	0.0000000000	0.9564075079	-11.8750969950	0.3736438148	mm
GUZ(C)S2-R3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0672538215	-0.0999476448	4.1829461298	0.0031565149	0.0001084457	0.0000000000	0.0006728391	-0.0022668455	0.0000000000	-0.0008889612	326.8484277470	0.0000000000	0.0000000000	-0.9564075079	3.1707393007	-0.1281803420	mm
HRSPZS2-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0235031678	-0.0309796065	4.1775405100	0.0031285863	0.0009037296	0.0000000000	0.0012745394	-0.0001736662	0.0000000000	-0.0002647544	-334.4699593761	0.0000000000	0.0000000000	0.0083814765	-7.2322939457	2.5082560881	mm
HRSPZS2-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1544110196	-0.0012067398	4.1668753266	0.0041896183	0.0002713370	0.0000000000	0.0016493909	-0.0000481832	0.0000000000	0.0013489428	334.4699593761	0.0000000000	0.0000000000	-0.0083814765	7.0876946090	0.0425540715	mm
GUZ(C)S1-R2	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0723854905	0.0565722778	5.5499158665	-0.0001860767	0.0010342404	0.0000000000	-0.0007742453	0.0010470756	0.0000000000	0.0002972064	-388.7892415881	0.0000000000	0.0000000000	-0.4809327343	-3.8407941777	-3.2515167886	mm
GUZ(C)S1-R2	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0147519288	0.0876389149	5.5607448977	-0.0007152605	0.0011561398	0.0000000000	-0.0004974196	0.0015724923	0.0000000000	-0.0005666016	388.7892415881	0.0000000000	0.0000000000	0.4809327343	5.9307508875	-2.0296755179	mm
BISZS1-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0235031678	-0.0309796065	4.1775405100	0.0031285863	0.0009037296	0.0000000000	0.0012745394	-0.0001736662	0.0000000000	-0.0002647544	-334.4699593761	0.0000000000	0.0000000000	0.0083814765	-7.2322939457	2.5082560881	mm
BISZS1-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1544110196	-0.0012067398	4.1668753266	0.0041896183	0.0002713370	0.0000000000	0.0016493909	-0.0000481832	0.0000000000	0.0013489428	334.4699593761	0.0000000000	0.0000000000	-0.0083814765	7.0876946090	0.0425540715	mm
GUZ(SC)S2-R3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0705255169	-0.0094590838	4.1641183955	0.0039917344	-0.0004170168	0.0000000000	0.0010547151	-0.0003924901	0.0000000000	-0.0003115786	-331.6082880680	0.0000000000	0.0000000000	-0.6086512098	-36.1442405706	-8.0069349073	mm
GUZ(SC)S2-R3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0568530201	-0.1043087314	4.5030264363	0.0028118076	0.0002436281	0.0000000000	0.0002874923	-0.0014048626	0.0000000000	-0.0002117774	335.9166551322	0.0000000000	0.0000000000	-0.4339653004	8.7812868840	4.9053247024	mm
