OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S41	344	S41_L.MP4	77147	S41_R.MP4	76194	830.18733	7	0.77033	394.55104	-598.12780	-4504.05352	2.96585	3.93071	27.71700	3.21864	4560.69353	9.31482	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	347	S41_L.MP4	77150	S41_R.MP4	76197	830.18833	7	0.77133	1363.36114	-963.94965	-3920.26431	6.09426	4.46175	17.82668	1.77930	4261.03565	23.26091	Labridae	Coris	auricularis	37384088	3	AD	Passing			
JMP-S41	349	S41_L.MP4	77347	S41_R.MP4	76394	830.25400	7	0.83700	911.10178	-556.47495	-3766.40948	4.46844	2.94880	18.17915	2.50604	3914.79389	15.99890	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	351	S41_L.MP4	77436	S41_R.MP4	76483	830.28367	7	0.86667	1910.14904	-329.73748	-4900.63631	10.45041	2.50702	27.47256	1.05227	5270.06949	21.63890	Labridae	Coris	auricularis	37384088	9	AD	Passing			
JMP-S41	352	S41_L.MP4	77742	S41_R.MP4	76789	830.38567	7	0.96867	520.88144	-377.92746	-3721.39728	2.93618	2.32879	18.74476	0.40774	3776.63135	10.00725	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	353	S41_L.MP4	77749	S41_R.MP4	76796	830.38800	7	0.97100	823.04066	-842.58720	-3143.25747	3.28695	3.37832	12.24129	0.67070	3356.69728	20.77808	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	354	S41_L.MP4	77782	S41_R.MP4	76829	830.39900	7	0.98200	2223.23502	-1383.78678	-5529.55883	13.10097	8.34003	33.52129	1.25221	6118.30538	25.51622	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	355	S41_L.MP4	77915	S41_R.MP4	76962	830.44333	7	1.02633	-304.98671	-668.76741	-2690.11517	1.51911	2.56184	9.74192	6.23296	2788.72486	15.58110	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	358	S41_L.MP4	77994	S41_R.MP4	77041	830.46967	7	1.05267	671.90655	-11.41741	-3164.01422	2.97610	1.28115	13.19995	0.39377	3234.59035	12.00083	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	359	S41_L.MP4	77994	S41_R.MP4	77041	830.46967	7	1.05267	1219.88545	-179.05502	-2538.57487	3.19297	1.03144	6.71584	8.26828	2822.15230	25.95483	Labridae	Coris	auricularis	37384088	1	AD	Passing			
